initial,final
ãÃAÂÀÁaáàâÅåǺǻḀḁẚĂăẶặẮắẰằẲẳẴẵȂȃÂâẬậẤấẦầẪẫẨẩẢảǍǎȺⱥȦȧÀàȀȁĀāĀāÃãĄą,a
Ää,ae
EÈèÉéÊêeĔĕḜḝȆȇÊêÊêÊêỀềẾếỂểỄễỆệẺẻḘḙĚěɆɇĖėĖ́ėĖėẸẹËëÈèÈ̩è̩ȄȅÉéÉ̩é̩ĒēḔḕḖḗẼẽḚḛĘęĘęĘęȨeEeᶒ,e
IiÌìîîÍíÍíiÌìiĬĭÎîǏǐḮḯĨĩiĮįĮįĮĪīĪīỈỉȈȉIiȊȋỊịḬḭƗɨᶖİiIı,i
õÕOoÒòÓóôÔØøǾǿȪȫÓóÒòÔôỐốỒồỔổỖỗỘộǑǒŐőŎŏȎȏȮȯȰȱỌọƟɵƠơỚớỜờỠỡỢợỞởỎỏŌōṒṓṐṑÕõȬȭṌṍṎṏǪǫȌȍOoÓóÒǬǭ,o
ïÏ,ie
Öö,oe
UuÙùÛûúÚŬŭɄʉᵾỤụÜüǛǜǗǘǙǚǕǖṲṳÚúÙùÛûṶṷǓǔȖȗŰűŬŭƯưỨứỪừỬửỰựỮỮỦủŪūŪūŪūṺṻŪūŨũṸṹṴṵᶙŲųŲųŲųȔȕŮů,u
Üü,ue
BbɃƀḂḃḄḅḆḇƁɓᵬᶀ,b
CcĆćĈĉČčĊċḈḉƇƈCcȻȼÇç,c
DdĐđƊɗḊḋḌḍḐḑḒḓĎďḎḏᵭᶁᶑ,d
FfƑƒḞḟᵮᶂᵮ,f
GgǴǵǤǥĜĝǦǧĞğĢģƓɠĠġḠḡᶃ,g
HhĤĥȞȟĦħḨḩⱧⱨẖẖḤḥḢḣḦḧḪḫ,h
JjĴĵǰɈɉJj̇,j
KkƘƙḰḱǨǩḲḳĶķᶄⱩⱪḴḵ,k
LlĹĺŁłĽľḸḹLlĻļĿŀḶḷḺḻḼḽȽƚⱠⱡ,l
MmḾḿṀṁṂṃMmᵯ,m
NnŃńÑñŇňǸǹṄṅṆṇŅņṈṉṊṋᵰᶇ,n
PpṔṕṖṗⱣᵽƤƥᵱᶈ,p
QqʠɊɋq,q
RrŔŕɌɍŘřŖŗṘṙȐȑȒȓṚṛṜṝṞṟꞦꞧⱤɽR̃r̃ᵲᵳᶉ,r
SsŚśṠṡẛṨṩṤṥṢṣSsŜŝṦṧŠšŞşȘșSsᶊⱾȿᵴᶳ,s
TtŤťṪṫẗŢţṬṭƮʈȚțƫṰṱṮṯŦŧȾⱦƬƭᵵᶵ,t
VvṼṽṾṿƲʋᶌ,v
WwẂẃẀẁŴŵẄẅẆẇẈẉẘ,w
XxẌẍẊẋᶍ,x
YyÝýỲỳŶŷŸÿỸỹẎẏỴỵẙỶỷȲȳɎɏƳƴ,y
ZzŹźẐẑŽžŻżẒẓẔẕƵƶᵶᶎⱫⱬ,z
ß,ss
œ,oe
Œ,Oe
æ,ae
Æ,AE
